"Datum";"El kWh";"Utomhustemperatur";"kWh - 2023-01-01  - 2023-12-31";"T(°C) - 2023-01-01  - 2023-12-31"
"2024-01-01 00:00";"1,412";"4,2";"1,148";"5,7"
"2024-01-01 01:00";"1,219";"4,1";"0,856";"6,000"
"2024-01-01 02:00";"2,172";"3,9";"0,891";"6,6"
"2024-01-01 03:00";"2,133";"3,8";"1,238";"6,5"
"2024-01-01 04:00";"1,179";"3,8";"1,187";"5,9"
"2024-01-01 05:00";"1,198";"3,7";"1,16";"5,9"
"2024-01-01 06:00";"1,191";"3,6";"1,535";"6,1"
"2024-01-01 07:00";"1,172";"3,7";"1,17";"7,4"
"2024-01-01 08:00";"1,2";"4,000";"1,179";"8,9"
"2024-01-01 09:00";"1,2";"4,000";"1,168";"8,9"
"2024-01-01 10:00";"1,225";"4,1";"1,147";"8,6"
"2024-01-01 11:00";"1,528";"4,1";"0,932";"8,8"
"2024-01-01 12:00";"2,126";"4,1";"1,334";"9,2"
"2024-01-01 13:00";"1,391";"4,000";"1,203";"8,9"
"2024-01-01 14:00";"1,362";"4,1";"0,784";"8,9"
"2024-01-01 15:00";"1,329";"4,4";"0,779";"8,6"
"2024-01-01 16:00";"1,342";"4,3";"0,873";"7,8"
"2024-01-01 17:00";"1,409";"3,9";"0,892";"7,9"
"2024-01-01 18:00";"1,829";"3,4";"1,105";"7,4"
"2024-01-01 19:00";"1,408";"3,2";"0,847";"7,4"
"2024-01-01 20:00";"1,469";"3,000";"0,876";"7,6"
"2024-01-01 21:00";"1,422";"2,9";"1,157";"7,7"
"2024-01-01 22:00";"1,432";"2,7";"1,167";"7,8"
"2024-01-01 23:00";"1,864";"2,7";"1,81";"7,4"
"2024-01-02 00:00";"1,613";"2,9";"1,896";"6,7"
"2024-01-02 01:00";"2,406";"2,8";"1,896";"6,2"
"2024-01-02 02:00";"2,355";"2,6";"0,976";"6,3"
"2024-01-02 03:00";"1,975";"2,5";"0,877";"6,1"
"2024-01-02 04:00";"1,406";"2,5";"0,877";"6,1"
"2024-01-02 05:00";"1,415";"2,4";"0,884";"5,9"
"2024-01-02 06:00";"1,39";"2,4";"0,919";"5,000"
"2024-01-02 07:00";"1,447";"2,3";"0,944";"4,2"
"2024-01-02 08:00";"1,483";"2,2";"0,978";"3,9"
"2024-01-02 09:00";"2,033";"2,1";"0,975";"4,2"
"2024-01-02 10:00";"1,692";"2,000";"0,944";"4,9"
"2024-01-02 11:00";"1,543";"1,7";"1,006";"5,7"
"2024-01-02 12:00";"1,697";"1,5";"1,057";"6,000"
"2024-01-02 13:00";"2,782";"1,4";"1,743";"6,1"
"2024-01-02 14:00";"1,966";"1,4";"1,073";"6,000"
"2024-01-02 15:00";"1,832";"1,3";"1,02";"5,6"
"2024-01-02 16:00";"2,01";"1,000";"0,99";"5,7"
"2024-01-02 17:00";"1,811";"1,2";"0,977";"4,1"
"2024-01-02 18:00";"2,529";"1,3";"1,931";"4,3"
"2024-01-02 19:00";"1,932";"1,2";"1,408";"4,8"
"2024-01-02 20:00";"2,048";"0,8";"1,379";"5,1"
"2024-01-02 21:00";"2,135";"1,000";"1,485";"5,4"
"2024-01-02 22:00";"2,04";"1,000";"1,462";"6,000"
"2024-01-02 23:00";"1,874";"1,000";"1,308";"6,4"
"2024-01-03 00:00";"1,935";"0,5";"1,278";"6,1"
"2024-01-03 01:00";"2,697";"0,5";"1,277";"5,7"
"2024-01-03 02:00";"3,01";"0,6";"2,316";"5,1"
"2024-01-03 03:00";"2,571";"0,5";"2,304";"5,1"
"2024-01-03 04:00";"2,027";"0,4";"1,339";"5,2"
"2024-01-03 05:00";"2,026";"-0,2";"1,317";"4,9"
"2024-01-03 06:00";"2,02";"-0,4";"1,338";"5,1"
"2024-01-03 07:00";"2,224";"-0,4";"1,319";"5,1"
"2024-01-03 08:00";"2,575";"-0,4";"1,354";"4,8"
"2024-01-03 09:00";"2,103";"0,5";"1,453";"4,7"
"2024-01-03 10:00";"2,036";"0,5";"1,452";"4,4"
"2024-01-03 11:00";"2,035";"0,6";"1,431";"5,2"
"2024-01-03 12:00";"2,081";"0,6";"1,362";"6,1"
"2024-01-03 13:00";"2,6";"0,6";"1,385";"6,1"
"2024-01-03 14:00";"2,315";"0,7";"1,331";"5,9"
"2024-01-03 15:00";"2,104";"0,5";"1,469";"5,6"
"2024-01-03 16:00";"2,123";"-0,3";"1,428";"4,9"
"2024-01-03 17:00";"2,088";"-1,000";"1,44";"4,5"
"2024-01-03 18:00";"2,944";"-1,8";"1,5";"3,6"
"2024-01-03 19:00";"2,016";"-2,5";"1,741";"3,000"
"2024-01-03 20:00";"2,134";"-3,3";"3,588";"2,1"
"2024-01-03 21:00";"2,169";"-3,6";"2,757";"0,9"
"2024-01-03 22:00";"2,289";"-3,1";"2,381";"-0,1"
"2024-01-03 23:00";"2,755";"-1,8";"2,324";"-0,7"
"2024-01-04 00:00";"2,16";"-1,3";"2,39";"-0,1"
"2024-01-04 01:00";"2,145";"-1,4";"2,352";"2,000"
"2024-01-04 02:00";"3,042";"-1,6";"1,379";"3,000"
"2024-01-04 03:00";"3,271";"-1,7";"1,359";"2,7"
"2024-01-04 04:00";"2,092";"-2,5";"1,351";"2,3"
"2024-01-04 05:00";"2,119";"-2,8";"1,364";"2,1"
"2024-01-04 06:00";"2,166";"-3,000";"1,393";"2,000"
"2024-01-04 07:00";"2,158";"-2,9";"1,388";"2,6"
"2024-01-04 08:00";"2,984";"-3,1";"1,301";"3,000"
"2024-01-04 09:00";"2,198";"-3,3";"1,016";"2,9"
"2024-01-04 10:00";"2,168";"-3,3";"1,041";"2,7"
"2024-01-04 11:00";"2,157";"-3,4";"1,062";"2,7"
"2024-01-04 12:00";"2,563";"-3,5";"1,166";"3,2"
"2024-01-04 13:00";"2,68";"-3,8";"1,196";"4,2"
"2024-01-04 14:00";"2,264";"-4,000";"1,147";"4,4"
"2024-01-04 15:00";"2,224";"-4,3";"1,117";"4,7"
"2024-01-04 16:00";"2,217";"-5,3";"1,211";"5,2"
"2024-01-04 17:00";"2,929";"-5,2";"1,592";"4,9"
"2024-01-04 18:00";"2,59";"-6,5";"1,933";"4,7"
"2024-01-04 19:00";"2,332";"-7,3";"1,568";"4,8"
"2024-01-04 20:00";"2,217";"-7,5";"1,065";"5,8"
"2024-01-04 21:00";"2,967";"-7,8";"1,113";"5,2"
"2024-01-04 22:00";"2,33";"-8,2";"1,089";"5,000"
