"Datum";"Produktion";"El kWh";"Utomhustemperatur";"kWh - 2023-01-01  - 2023-12-31";"T(°C) - 2023-01-01  - 2023-12-31"
"2024-01-01 00:00";"0,000";"6,17";"4,2";"8,79";"5,7"
"2024-01-01 01:00";"0,000";"6,12";"4,1";"8,71";"6,000"
"2024-01-01 02:00";"0,000";"5,61";"3,9";"7,95";"6,6"
"2024-01-01 03:00";"0,000";"5,86";"3,8";"5,28";"6,5"
"2024-01-01 04:00";"0,000";"5,91";"3,8";"5,84";"5,9"
"2024-01-01 05:00";"0,000";"5,43";"3,7";"5,21";"5,9"
"2024-01-01 06:00";"0,000";"5,98";"3,6";"5,27";"6,1"
"2024-01-01 07:00";"0,000";"5,49";"3,7";"5,58";"7,4"
"2024-01-01 08:00";"0,000";"5,91";"4,000";"4,97";"8,9"
"2024-01-01 09:00";"0,000";"4,31";"4,000";"4,66";"8,9"
"2024-01-01 10:00";"0,000";"5,1";"4,1";"8,57";"8,6"
"2024-01-01 11:00";"0,000";"4,9";"4,1";"11,77";"8,8"
"2024-01-01 12:00";"0,000";"4,95";"4,1";"17,39";"9,2"
"2024-01-01 13:00";"0,000";"4,59";"4,000";"12,64";"8,9"
"2024-01-01 14:00";"0,000";"4,86";"4,1";"15,48";"8,9"
"2024-01-01 15:00";"0,000";"5,08";"4,4";"8,42";"8,6"
"2024-01-01 16:00";"0,000";"6,43";"4,3";"7,37";"7,8"
"2024-01-01 17:00";"0,000";"11,81";"3,9";"23,09";"7,9"
"2024-01-01 18:00";"0,000";"11,04";"3,4";"18,86";"7,4"
"2024-01-01 19:00";"0,000";"10,45";"3,2";"15,94";"7,4"
"2024-01-01 20:00";"0,000";"12,2";"3,000";"12,14";"7,6"
"2024-01-01 21:00";"0,000";"13,49";"2,9";"9,56";"7,7"
"2024-01-01 22:00";"0,000";"13,49";"2,7";"9,68";"7,8"
"2024-01-01 23:00";"0,000";"13,48";"2,7";"13,03";"7,4"
"2024-01-02 00:00";"0,000";"12,72";"2,9";"13,09";"6,7"
"2024-01-02 01:00";"0,000";"13,28";"2,8";"12,56";"6,2"
"2024-01-02 02:00";"0,000";"12,83";"2,6";"10,53";"6,3"
"2024-01-02 03:00";"0,000";"13,48";"2,5";"9,16";"6,1"
"2024-01-02 04:00";"0,000";"12,84";"2,5";"9,81";"6,1"
"2024-01-02 05:00";"0,000";"13,71";"2,4";"9,23";"5,9"
"2024-01-02 06:00";"0,000";"12,91";"2,4";"9,83";"5,000"
"2024-01-02 07:00";"0,000";"11,66";"2,3";"11,43";"4,2"
"2024-01-02 08:00";"0,000";"16,55";"2,2";"11,59";"3,9"
"2024-01-02 09:00";"0,000";"24,38";"2,1";"10,94";"4,2"
"2024-01-02 10:00";"0,000";"8,74";"2,000";"11,7";"4,9"
"2024-01-02 11:00";"0,000";"9,55";"1,7";"9,91";"5,7"
"2024-01-02 12:00";"0,000";"17,05";"1,5";"8,43";"6,000"
"2024-01-02 13:00";"0,000";"18,93";"1,4";"7,87";"6,1"
"2024-01-02 14:00";"0,000";"14,37";"1,4";"9,87";"6,000"
"2024-01-02 15:00";"0,000";"17,29";"1,3";"13,23";"5,6"
"2024-01-02 16:00";"0,000";"39,03";"1,000";"13,83";"5,7"
"2024-01-02 17:00";"0,000";"28,9";"1,2";"18,24";"4,1"
"2024-01-02 18:00";"0,000";"37,58";"1,3";"13,79";"4,3"
"2024-01-02 19:00";"0,000";"23,39";"1,2";"6,6";"4,8"
"2024-01-02 20:00";"0,000";"30,08";"0,8";"9,82";"5,1"
"2024-01-02 21:00";"0,000";"25,67";"1,000";"19,83";"5,4"
"2024-01-02 22:00";"0,000";"17,08";"1,000";"18,65";"6,000"
"2024-01-02 23:00";"0,000";"14,82";"1,000";"14,36";"6,4"
"2024-01-03 00:00";"0,000";"14,4";"0,5";"11,38";"6,1"
"2024-01-03 01:00";"0,000";"14,24";"0,5";"9,3";"5,7"
"2024-01-03 02:00";"0,000";"14,53";"0,6";"10,08";"5,1"
"2024-01-03 03:00";"0,000";"13,38";"0,5";"9,67";"5,1"
"2024-01-03 04:00";"0,000";"11,03";"0,4";"10,16";"5,2"
"2024-01-03 05:00";"0,000";"11,13";"-0,2";"9,72";"4,9"
"2024-01-03 06:00";"0,000";"11,44";"-0,4";"10,35";"5,1"
"2024-01-03 07:00";"0,000";"14,8";"-0,4";"12,94";"5,1"
"2024-01-03 08:00";"0,000";"11,11";"-0,4";"11,5";"4,8"
"2024-01-03 09:00";"0,000";"20,83";"0,5";"8,17";"4,7"
"2024-01-03 10:00";"0,000";"17,73";"0,5";"8,17";"4,4"
"2024-01-03 11:00";"0,000";"15,28";"0,6";"5,14";"5,2"
"2024-01-03 12:00";"0,000";"16,75";"0,6";"0,94";"6,1"
"2024-01-03 13:00";"0,000";"11,78";"0,6";"5,04";"6,1"
"2024-01-03 14:00";"0,000";"12,27";"0,7";"6,3";"5,9"
"2024-01-03 15:00";"0,000";"9,74";"0,5";"8,36";"5,6"
"2024-01-03 16:00";"0,000";"13,7";"-0,3";"12,63";"4,9"
"2024-01-03 17:00";"0,000";"18,24";"-1,000";"37,76";"4,5"
"2024-01-03 18:00";"0,000";"28,35";"-1,8";"24,66";"3,6"
"2024-01-03 19:00";"0,000";"16,52";"-2,5";"20,78";"3,000"
"2024-01-03 20:00";"0,000";"9,5";"-3,3";"18,62";"2,1"
"2024-01-03 21:00";"0,000";"8,41";"-3,6";"17,66";"0,9"
"2024-01-03 22:00";"0,000";"11,78";"-3,1";"10,83";"-0,1"
"2024-01-03 23:00";"0,000";"11,79";"-1,8";"10,31";"-0,7"
"2024-01-04 00:00";"0,000";"12,18";"-1,3";"10,72";"-0,1"
"2024-01-04 01:00";"0,000";"12,34";"-1,4";"10,16";"2,000"
"2024-01-04 02:00";"0,000";"12,35";"-1,6";"10,89";"3,000"
"2024-01-04 03:00";"0,000";"12,48";"-1,7";"10,21";"2,7"
"2024-01-04 04:00";"0,000";"12,69";"-2,5";"10,87";"2,3"
"2024-01-04 05:00";"0,000";"12,44";"-2,8";"10,25";"2,1"
"2024-01-04 06:00";"0,000";"12,46";"-3,000";"10,18";"2,000"
"2024-01-04 07:00";"0,000";"15,02";"-2,9";"11,9";"2,6"
"2024-01-04 08:00";"0,000";"13,74";"-3,1";"8,74";"3,000"
"2024-01-04 09:00";"0,000";"15,66";"-3,3";"8,52";"2,9"
"2024-01-04 10:00";"0,000";"16,4";"-3,3";"10,44";"2,7"
"2024-01-04 11:00";"0,000";"24,03";"-3,4";"7,84";"2,7"
"2024-01-04 12:00";"0,000";"23,54";"-3,5";"11,71";"3,2"
"2024-01-04 13:00";"0,000";"17,88";"-3,8";"22,71";"4,2"
"2024-01-04 14:00";"0,000";"13,07";"-4,000";"16,92";"4,4"
"2024-01-04 15:00";"0,000";"9,26";"-4,3";"18,57";"4,7"
"2024-01-04 16:00";"0,000";"9,81";"-5,3";"21,81";"5,2"
"2024-01-04 17:00";"0,000";"12,26";"-5,2";"23,69";"4,9"
"2024-01-04 18:00";"0,000";"20,95";"-6,5";"32,4";"4,7"
"2024-01-04 19:00";"0,000";"21,1";"-7,3";"16,72";"4,8"
"2024-01-04 20:00";"0,000";"15,87";"-7,5";"19,74";"5,8"
"2024-01-04 21:00";"0,000";"13,6";"-7,8";"20,05";"5,2"
"2024-01-04 22:00";"0,000";"13,73";"-8,2";"19,65";"5,000"
"2024-01-04 23:00";"0,000";"13,78";"-8,9";"17,79";"6,2"
"2024-01-05 00:00";"0,000";"14,04";"-9,7";"13,81";"5,7"
"2024-01-05 01:00";"0,000";"14,05";"-10,3";"13,6";"7,1"
"2024-01-05 02:00";"0,000";"13,38";"-10,6";"12,91";"7,1"
"2024-01-05 03:00";"0,000";"11,92";"-10,6";"10,3";"6,2"
"2024-01-05 04:00";"0,000";"10,31";"-11,000";"9,7";"6,000"
"2024-01-05 05:00";"0,000";"10,47";"-11,000";"9,65";"5,4"
